WARNING  : Скважина 14863/1 (id - 59653) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20613 (id - 2443) из РИГИС сопоставилась с перфорациями по названию, нгду и площади без учета ствола
WARNING  : Скважина 17791/1 (id - 82716) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20390/1 (id - 6673) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32049/1 (id - 71767) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21388/1 (id - 6066) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20188/1 (id - 84232) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32030/1 (id - 70669) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20491д/1 (id - 73581) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20695/1 (id - 48173) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 25433/1 (id - 60392) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 8163/1 (id - 56795) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 17773/1 (id - 81936) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 14916/1 (id - 58358) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 2193д/1 (id - 47754) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32372/1 (id - 69334) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 26849/1 (id - 60538) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 25433/2 (id - 60393) из РИГИС сопоставилась с перфорациями по названию, нгду и площади без учета ствола
WARNING  : Скважина 17788/1 (id - 871) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21166/1 (id - 6659) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 27008/1 (id - 88182) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32133/1 (id - 6207) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
